행정구역별,생활밀접업종,대분류,중분류,년,분기,,트렌드지수,반응도,매출,전체점포수,프랜차이즈점포수,일반점포수,개업수,폐업수,개업률,폐업률,최근10년평균영업기간,최근30년평균영업기간
망원1동,서비스업/두발미용업,서비스업,두발미용업,2017,3,망원1동두발미용업20173,1.63,0.03,153949784.7,50,0,50,0,1,0,2,4.2,6.1
망원2동,서비스업/두발미용업,서비스업,두발미용업,2017,3,망원2동두발미용업20173,1.63,0.03,96462947,63,1,62,2,2,3.2,3.2,3.7,6.3
망원1동,서비스업/네일숍,서비스업,네일숍,2017,3,망원1동네일숍20173,,,9270031.333,8,0,8,0,0,0,0,3,3.8
망원2동,서비스업/네일숍,서비스업,네일숍,2017,3,망원2동네일숍20173,,,2968283.333,6,0,6,0,0,0,0,2.6,3.4
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,4,망원1동스포츠클럽20174,,,37506802,6,0,6,1,1,16.7,16.7,2.1,5.3
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,4,망원2동스포츠클럽20174,,,242821688.3,4,0,4,0,0,0,0,2.1,7.9
망원1동,서비스업/두발미용업,서비스업,두발미용업,2017,4,망원1동두발미용업20174,1.97,0.07,108780970.3,51,0,51,2,1,3.9,2,4,6.1
망원2동,서비스업/두발미용업,서비스업,두발미용업,2017,4,망원2동두발미용업20174,1.97,0.07,89734505.67,63,1,62,1,1,1.6,1.6,3.8,6.3
망원1동,서비스업/네일숍,서비스업,네일숍,2017,4,망원1동네일숍20174,1.07,0.5,8652733.333,8,0,8,0,0,0,0,3.1,3.9
망원2동,서비스업/네일숍,서비스업,네일숍,2017,4,망원2동네일숍20174,1.07,0.5,2811871.333,6,0,6,0,0,0,0,2.7,3.6
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,1,망원1동스포츠클럽20181,,,162454084,6,0,6,0,0,0,0,2.2,5.4
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,1,망원2동스포츠클럽20181,,,277371888.7,5,0,5,1,0,20,0,1.7,6.9
망원1동,서비스업/두발미용업,서비스업,두발미용업,2018,1,망원1동두발미용업20181,1.57,0.07,146956118.7,52,0,52,1,0,1.9,0,4,6.2
망원2동,서비스업/두발미용업,서비스업,두발미용업,2018,1,망원2동두발미용업20181,1.57,0.07,86719228.67,67,1,66,5,1,7.5,1.5,3.5,6.2
망원1동,서비스업/네일숍,서비스업,네일숍,2018,1,망원1동네일숍20181,1.1,0.6,4239523.333,8,0,8,0,0,0,0,3.3,4
망원2동,서비스업/네일숍,서비스업,네일숍,2018,1,망원2동네일숍20181,1.1,0.6,4078232.333,6,0,6,0,0,0,0,2.9,3.7
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,2,망원1동스포츠클럽20182,,,58278942,6,0,6,0,0,0,0,1.5,5.5
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,2,망원2동스포츠클럽20182,,,228481987,5,0,5,0,0,0,0,1.9,7.1
망원1동,서비스업/두발미용업,서비스업,두발미용업,2018,2,망원1동두발미용업20182,2.2,0.1,382970186.3,50,0,50,1,3,2,6,4,6.2
망원2동,서비스업/두발미용업,서비스업,두발미용업,2018,2,망원2동두발미용업20182,2.2,0.1,85749294.33,63,1,62,0,4,0,6.3,3.7,6.3
망원1동,서비스업/네일숍,서비스업,네일숍,2018,2,망원1동네일숍20182,1.75,1.35,4511221.667,7,0,7,0,1,0,14.3,3.4,4.1
망원2동,서비스업/네일숍,서비스업,네일숍,2018,2,망원2동네일숍20182,1.75,1.35,3190230,6,0,6,0,0,0,0,3,3.8
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,3,망원1동스포츠클럽20183,0.4,0,75188592.67,6,0,6,0,0,0,0,1.6,5.7
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,3,망원2동스포츠클럽20183,0.4,0,217951599.7,5,0,5,0,0,0,0,2.1,7.3
망원1동,서비스업/두발미용업,서비스업,두발미용업,2018,3,망원1동두발미용업20183,6.23,0.5,176672055.3,49,0,49,1,2,2,4.1,4,6.2
망원2동,서비스업/두발미용업,서비스업,두발미용업,2018,3,망원2동두발미용업20183,6.23,0.5,85886110,64,1,63,1,0,1.6,0,3.6,6.4
망원1동,서비스업/네일숍,서비스업,네일숍,2018,3,망원1동네일숍20183,1.07,0.97,1960373.667,7,0,7,0,0,0,0,3.6,4.2
망원2동,서비스업/네일숍,서비스업,네일숍,2018,3,망원2동네일숍20183,1.07,0.97,3437036.667,6,0,6,0,0,0,0,3.2,4
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,4,망원1동스포츠클럽20184,0.33,0,73936814,6,0,6,0,0,0,0,1.6,5.8
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2018,4,망원2동스포츠클럽20184,0.33,0,215326024.3,5,0,5,0,0,0,0,2.3,7.5
망원1동,서비스업/두발미용업,서비스업,두발미용업,2018,4,망원1동두발미용업20184,5.55,0.65,165535981.7,52,0,52,4,1,7.7,1.9,3.9,6.1
망원2동,서비스업/두발미용업,서비스업,두발미용업,2018,4,망원2동두발미용업20184,5.55,0.65,83470675.33,65,1,64,3,2,4.6,3.1,3.6,6.4
망원1동,서비스업/네일숍,서비스업,네일숍,2018,4,망원1동네일숍20184,1.23,1.4,1827736.667,7,0,7,0,0,0,0,3.7,4.3
망원2동,서비스업/네일숍,서비스업,네일숍,2018,4,망원2동네일숍20184,1.23,1.4,4683773.333,6,0,6,0,0,0,0,3.3,4.1
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2019,1,망원1동스포츠클럽20191,0.3,0,641240000,5,0,5,0,1,0,20,1.8,5.7
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2019,1,망원2동스포츠클럽20191,0.3,0,341520000,5,0,5,0,0,0,0,2.5,7.6
망원1동,서비스업/두발미용업,서비스업,두발미용업,2019,1,망원1동두발미용업20191,3.23,0.68,1066500000,54,0,54,1,0,1.9,0,3.7,6.3
망원2동,서비스업/두발미용업,서비스업,두발미용업,2019,1,망원2동두발미용업20191,3.23,0.68,358150000,66,1,65,2,1,3,1.5,3.7,6.4
망원1동,서비스업/네일숍,서비스업,네일숍,2019,1,망원1동네일숍20191,1.55,2.1,13500000,6,0,6,0,1,0,16.7,4,4.7
망원2동,서비스업/네일숍,서비스업,네일숍,2019,1,망원2동네일숍20191,1.55,2.1,49490000,7,0,7,0,0,0,0,2.9,4
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2019,2,망원1동스포츠클럽20192,0.53,0.23,482030000,4,0,4,0,1,0,25,1.9,5.7
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2019,2,망원2동스포츠클럽20192,0.53,0.23,413790000,5,0,5,0,0,0,0,2.6,7.8
망원1동,서비스업/두발미용업,서비스업,두발미용업,2019,2,망원1동두발미용업20192,1.1,0.47,1440390000,57,0,57,4,0,7,0,3.3,6.2
망원2동,서비스업/두발미용업,서비스업,두발미용업,2019,2,망원2동두발미용업20192,1.1,0.47,402560000,65,1,64,1,2,1.5,3.1,3.6,6.5
망원1동,서비스업/네일숍,서비스업,네일숍,2019,2,망원1동네일숍20192,1.65,2.57,27420000,6,0,6,0,0,0,0,4.1,4.8
망원2동,서비스업/네일숍,서비스업,네일숍,2019,2,망원2동네일숍20192,1.65,2.57,51310000,7,0,7,0,0,0,0,3.2,4.2
망원1동,소매업/의류점,소매업,의류점,2017,1,망원1동의류점20171,,,144184032.7,61,0,61,1,3,1.6,4.9,3.2,4.7
망원2동,소매업/의류점,소매업,의류점,2017,1,망원2동의류점20171,,,122995614,55,0,55,6,1,10.9,1.8,2.5,3.9
망원1동,소매업/패션용품,소매업,패션용품,2017,1,망원1동패션용품20171,,,36881958.33,17,2,15,0,1,0,5.9,3.8,7
망원2동,소매업/패션용품,소매업,패션용품,2017,1,망원2동패션용품20171,,,5647490,12,1,11,1,0,8.3,0,3.5,5.3
망원1동,소매업/화초·애완,소매업,화초/애완,2017,1,망원1동화초/애완20171,,,12443676.67,18,0,18,4,1,22.2,5.6,2.4,4.1
망원2동,소매업/화초·애완,소매업,화초/애완,2017,1,망원2동화초/애완20171,,,3056350,16,0,16,1,0,6.3,0,2.4,4.7
망원1동,소매업/의류점,소매업,의류점,2017,2,망원1동의류점20172,,,227326197.3,60,0,60,3,4,5,6.7,3.1,4.7
망원2동,소매업/의류점,소매업,의류점,2017,2,망원2동의류점20172,,,159853992,54,0,54,3,4,5.6,7.4,2.5,3.9
망원1동,소매업/패션용품,소매업,패션용품,2017,2,망원1동패션용품20172,,,58990423.67,17,2,15,0,0,0,0,3.9,7.1
망원2동,소매업/패션용품,소매업,패션용품,2017,2,망원2동패션용품20172,,,58990423.67,12,1,11,1,1,8.3,8.3,3.4,5.2
망원1동,소매업/화초·애완,소매업,화초/애완,2017,2,망원1동화초/애완20172,,,20240915,20,0,20,3,1,15,5,2.2,3.9
망원2동,소매업/화초·애완,소매업,화초/애완,2017,2,망원2동화초/애완20172,,,4747163.333,17,0,17,1,0,5.9,0,2.3,4.7
망원1동,소매업/의류점,소매업,의류점,2017,3,망원1동의류점20173,,,187968738,60,0,60,3,3,5,5,3,4.7
망원2동,소매업/의류점,소매업,의류점,2017,3,망원2동의류점20173,,,123723914.3,57,0,57,4,1,7,1.8,2.4,3.8
망원1동,소매업/패션용품,소매업,패션용품,2017,3,망원1동패션용품20173,,,37564471.67,18,2,16,1,0,5.6,0,3.8,7.1
망원2동,소매업/패션용품,소매업,패션용품,2017,3,망원2동패션용품20173,,,13005992.33,12,1,11,0,0,0,0,3.5,5.3
망원1동,소매업/화초·애완,소매업,화초/애완,2017,3,망원1동화초/애완20173,,,12244452.67,18,0,18,0,2,0,11.1,2.3,4
망원2동,소매업/화초·애완,소매업,화초/애완,2017,3,망원2동화초/애완20173,,,22811799.33,17,0,17,1,1,5.9,5.9,2.3,4.6
망원1동,소매업/의류점,소매업,의류점,2017,4,망원1동의류점20174,,,215593745.7,61,0,61,2,1,3.3,1.6,3,4.8
망원2동,소매업/의류점,소매업,의류점,2017,4,망원2동의류점20174,,,101959099.3,56,0,56,2,3,3.6,5.4,2.4,3.8
망원1동,소매업/패션용품,소매업,패션용품,2017,4,망원1동패션용품20174,,,33948785.33,18,2,16,1,1,5.6,5.6,3.5,7
망원2동,소매업/패션용품,소매업,패션용품,2017,4,망원2동패션용품20174,,,17707520,12,1,11,0,0,0,0,3.6,5.4
망원1동,소매업/화초·애완,소매업,화초/애완,2017,4,망원1동화초/애완20174,1.8,1.95,57636785.67,17,0,17,0,1,0,5.9,2.2,4
망원2동,소매업/화초·애완,소매업,화초/애완,2017,4,망원2동화초/애완20174,1.8,1.95,2846431.667,17,0,17,0,0,0,0,2,4.7
망원1동,소매업/의류점,소매업,의류점,2018,1,망원1동의류점20181,,,130874420.7,60,0,60,3,4,5,6.7,2.9,4.7
망원2동,소매업/의류점,소매업,의류점,2018,1,망원2동의류점20181,,,64990220,53,0,53,1,4,1.9,7.5,2.4,3.9
망원1동,소매업/패션용품,소매업,패션용품,2018,1,망원1동패션용품20181,,,22345227.33,19,2,17,1,0,5.3,0,3.4,7
망원2동,소매업/패션용품,소매업,패션용품,2018,1,망원2동패션용품20181,,,22642956.33,12,1,11,0,0,0,0,3.7,5.4
망원1동,소매업/화초·애완,소매업,화초/애완,2018,1,망원1동화초/애완20181,4.4,1.47,11013083.33,21,0,21,4,0,19,0,2,3.8
망원2동,소매업/화초·애완,소매업,화초/애완,2018,1,망원2동화초/애완20181,4.4,1.47,5784226.667,16,0,16,1,2,6.3,12.5,2,4.7
망원1동,소매업/의류점,소매업,의류점,2018,2,망원1동의류점20182,,,147932709.3,60,0,60,2,2,3.3,3.3,2.9,4.8
망원2동,소매업/의류점,소매업,의류점,2018,2,망원2동의류점20182,,,85182017,48,0,48,1,6,2.1,12.5,2.5,3.9
망원1동,소매업/패션용품,소매업,패션용품,2018,2,망원1동패션용품20182,,,51210184.33,19,2,17,0,0,0,0,3.1,7.1
망원2동,소매업/패션용품,소매업,패션용품,2018,2,망원2동패션용품20182,,,8650476.667,12,1,11,0,0,0,0,3.8,5.5
망원1동,소매업/화초·애완,소매업,화초/애완,2018,2,망원1동화초/애완20182,5.28,1.55,23618919.33,21,0,21,0,0,0,0,2.1,3.9
망원2동,소매업/화초·애완,소매업,화초/애완,2018,2,망원2동화초/애완20182,5.28,1.55,8109234.667,14,0,14,0,2,0,14.3,2.1,4.8
망원1동,소매업/의류점,소매업,의류점,2018,3,망원1동의류점20183,,,147620990.3,62,0,62,4,2,6.5,3.2,2.8,4.7
망원2동,소매업/의류점,소매업,의류점,2018,3,망원2동의류점20183,,,72405216.67,50,0,50,3,1,6,2,2.5,3.9
망원1동,소매업/패션용품,소매업,패션용품,2018,3,망원1동패션용품20183,,,63695254.33,19,2,17,0,0,0,0,2.8,7.1
망원2동,소매업/패션용품,소매업,패션용품,2018,3,망원2동패션용품20183,,,5406905,12,1,11,0,0,0,0,3.9,5.6
망원1동,소매업/화초·애완,소매업,화초/애완,2018,3,망원1동화초/애완20183,4.55,1.13,17536647,23,0,23,2,0,8.7,0,2.1,3.8
망원2동,소매업/화초·애완,소매업,화초/애완,2018,3,망원2동화초/애완20183,4.55,1.13,2978533.333,14,0,14,0,0,0,0,2.2,4.9
망원1동,소매업/의류점,소매업,의류점,2018,4,망원1동의류점20184,,,202217760.3,63,0,63,3,2,4.8,3.2,2.8,4.7
망원2동,소매업/의류점,소매업,의류점,2018,4,망원2동의류점20184,,,90455639,51,0,51,3,2,5.9,3.9,2.4,3.9
