행정구역별,생활밀접업종,대분류,중분류,년,분기,,트렌드지수,반응도,매출,전체점포수,프랜차이즈점포수,일반점포수,개업수,폐업수,개업률,폐업률,최근10년평균영업기간,최근30년평균영업기간
망원1동,외식업/양식음식점,외식업,양식음식점,2018,1,망원1동양식음식점20181,,,225489551.7,30,0,30,1,0,3.3,0,1.4,2.2
망원2동,외식업/양식음식점,외식업,양식음식점,2018,1,망원2동양식음식점20181,,,37855012.33,8,0,8,0,0,0,0,2.8,3.2
망원1동,외식업/패스트푸드점,외식업,패스트푸드점,2018,1,망원1동패스트푸드점20181,0.7,0.5,187607607.3,16,8,8,0,2,0,12.5,2.8,5.1
망원2동,외식업/패스트푸드점,외식업,패스트푸드점,2018,1,망원2동패스트푸드점20181,0.7,0.5,34344277,6,4,2,1,1,16.7,16.7,2.5,4.6
망원1동,외식업/제과점,외식업,제과점,2018,1,망원1동제과점20181,,,135662278.7,19,4,15,2,1,10.5,5.3,1.7,3.6
망원2동,외식업/제과점,외식업,제과점,2018,1,망원2동제과점20181,,,129300256.7,15,3,12,3,0,20,0,2.7,4.1
망원1동,외식업/커피·음료,외식업,커피/음료,2018,1,망원1동커피/음료20181,1.5,7.21,35776911.67,59,3,56,5,3,8.5,5.1,1.8,2.5
망원2동,외식업/커피·음료,외식업,커피/음료,2018,1,망원2동커피/음료20181,1.5,7.21,45683275,42,3,39,3,3,7.1,7.1,1.7,2
망원1동,외식업/호프·간이주점,외식업,호프/간이주점,2018,1,망원1동호프/간이주점20181,1.4,0.33,15316706.67,47,3,44,4,2,8.5,4.3,2.3,4.1
망원2동,외식업/호프·간이주점,외식업,호프/간이주점,2018,1,망원2동호프/간이주점20181,1.4,0.33,4893666.667,32,5,27,1,2,3.1,6.3,2.3,4.1
망원1동,외식업/한식음식점,외식업,한식음식점,2018,2,망원1동한식음식점20182,0.8,5.5,2659400651,149,7,142,7,2,4.7,1.3,2.4,4.3
망원2동,외식업/한식음식점,외식업,한식음식점,2018,2,망원2동한식음식점20182,0.8,5.5,1435457498,102,9,93,5,4,4.9,3.9,2.2,4.2
망원1동,외식업/중식음식점,외식업,중식음식점,2018,2,망원1동중식음식점20182,0.3,0,179664423.3,12,0,12,0,0,0,0,2.5,4
망원2동,외식업/중식음식점,외식업,중식음식점,2018,2,망원2동중식음식점20182,0.3,0,145973785.3,11,0,11,0,0,0,0,2.3,4.5
망원1동,외식업/일식음식점,외식업,일식음식점,2018,2,망원1동일식음식점20182,,,455460448,23,2,21,0,0,0,0,1.9,3
망원2동,외식업/일식음식점,외식업,일식음식점,2018,2,망원2동일식음식점20182,,,27170261,5,0,5,0,0,0,0,1.3,2.3
망원1동,외식업/양식음식점,외식업,양식음식점,2018,2,망원1동양식음식점20182,,,335162170.7,31,0,31,3,2,9.7,6.5,1.5,2.2
망원2동,외식업/양식음식점,외식업,양식음식점,2018,2,망원2동양식음식점20182,,,43270432,11,0,11,3,0,27.3,0,2,3
망원1동,외식업/패스트푸드점,외식업,패스트푸드점,2018,2,망원1동패스트푸드점20182,1.3,1.2,268726144,15,8,7,0,1,0,6.7,2.9,5.2
망원2동,외식업/패스트푸드점,외식업,패스트푸드점,2018,2,망원2동패스트푸드점20182,1.3,1.2,33258466.67,7,4,3,1,0,14.3,0,2.4,4.5
망원1동,외식업/제과점,외식업,제과점,2018,2,망원1동제과점20182,,,99817402,20,4,16,1,0,5,0,1.8,3.6
망원2동,외식업/제과점,외식업,제과점,2018,2,망원2동제과점20182,,,151655093.3,15,3,12,1,1,6.7,6.7,2.7,4.1
망원1동,외식업/커피·음료,외식업,커피/음료,2018,2,망원1동커피/음료20182,1.15,7.04,176488389,66,4,62,9,2,13.6,3,1.7,2.4
망원2동,외식업/커피·음료,외식업,커피/음료,2018,2,망원2동커피/음료20182,1.15,7.04,30947190,42,3,39,3,3,7.1,7.1,1.7,2
망원1동,외식업/호프·간이주점,외식업,호프/간이주점,2018,2,망원1동호프/간이주점20182,1.85,0.5,19436776.67,46,4,42,2,3,4.3,6.5,2.3,4.1
망원2동,외식업/호프·간이주점,외식업,호프/간이주점,2018,2,망원2동호프/간이주점20182,1.85,0.5,5141650,32,6,26,3,3,9.4,9.4,2.3,4.1
망원1동,외식업/한식음식점,외식업,한식음식점,2018,3,망원1동한식음식점20183,0.45,2.87,2620224107,144,7,137,3,8,2.1,5.6,2.4,4.4
